CVEMONEDA,NOMMONEDA
AED,dírham [de los Emiratos Árabes Unidos]
AFN,afgani
ALL,lek
AMD,dram
ANG,florín [antillano]
AOA,kuanza
ARS,peso [argentino]
AUD,dólar [australiano]
AWG,florín [arubeño]
AZN,manat [azerbaiyano]
BAM,marco convertible
BBD,dólar [barbadense]
BDT,taka
BGN,leva
BHD,dinar [bareiní]
BIF,franco [burundés]
BMD,dólar [bermudeño]
BND,dólar [bruneano]
BOB,boliviano
BRL,real
BSD,dólar [bahameño]
BTN,gultrum
BWP,pula
BYR,rublo [bielorruso]
BZD,dólar [beliceño]
CAD,dólar [canadiense]
CDF,franco [congoleño]
CHF,franco [suizo]
CNY,yuan renminbi
COP,peso [colombiano]
CRC,colón [costarricense]
CUC, peso convertible
CUP,peso [cubano]
CVE,escudo [caboverdiano]
CZK,corona [checa]
DJF,franco [yibutiano]
DKK,corona [danesa]
DOP,peso [dominicano]
DZD,dinar [argelino]
EGP,libra [egipcia]
ERN,nakfa
ETB,bir
EUR,euro
FJD,dólar [fiyiano]
FKP,libra [de las Islas Malvinas]
GBP,libra [esterlina]
CLP,peso [chileno]
GEL,lari
GGP,libra [de Guernesey]
GHS,cedi
GIP,libra [gibraltareña]
GMD,dalasi
GNF,franco [guineano]
GTQ,quetzal
GYD,dólar [guyanés]
HKD,dólar [hongkonés]
HNL,lempira
HRK,kuna
HTG,gurde
HUF,forinto
IDR,rupia [indonesia]
ILS,séquel
IMP,libra [de la Isla de Man]
INR,rupia [india]
IQD,dinar [iraquí]
IRR,rial [iraní]
ISK,corona [islandesa]
JEP,libra [de Jersey]
JMD,dólar [jamaicano]
JOD,dinar [jordano]
JPY,yen
KES,chelín [keniata]
KGS,som
KHR,riel
KMF,franco [comorense]
KPW,won [de la República Popular Democrática de Corea]
KRW,won [de la República de Corea]
KWD,dinar [kuwaití]
KYD,dólar [caimanés]
KZT,tengue
LAK,kip
LBP,libra [libanesa]
LKR,rupia [esrilanquesa]
LRD,dólar [liberiano]
LSL,loti
LTL,litas
LYD,dinar [libio]
MAD,dírham [marroquí]
MDL,leu [moldavo]
MGA,ariari
MKD,denar
MMK,kiat
MNT,tugrik
MOP,pataca
MRO,uguiya
MUR,rupia [mauriciana]
MVR,rufiya
MWK,kuacha [malauí]
MXN,peso [mexicano]
MYR,ringit
MZN,metical
NAD,dólar [namibio]
NGN,naira
NIO,córdoba oro
NOK,corona [noruega]
NPR,rupia [nepalesa]
NZD,dólar [neozelandés]
OMR,rial [omaní]
PAB,balboa
PEN,nuevo sol
PGK,kina
PHP,peso [filipino]
PKR,rupia [pakistaní]
PLN,esloti
PYG,guaraní
QAR,rial [catarí]
RON,leu [rumano]
RSD,dinar [serbio]
RUB,rublo [ruso]
RWF,franco [ruandés]
SAR,riyal [saudí]
SBD,dólar [salomonense]
SCR,rupia [seychellense]
SDG,libra [sudanesa]
SEK,corona [sueca]
SGD,dólar [singapurense]
SHP,libra [esterlina]
SLL,leona
SOS,chelín [somalí]
SRD,dólar [surinamés]
SSP,libra [de Sudán del Sur]
STD,dobra
SVC,colón [salvadoreño]
SYP,libra [siria]
SZL,lilangeni
THB,bat
TJS,somoni
TMT,manat [turcomano]
TND,dinar [tunecino]
TOP,paanga
TRY,lira [turca]
TTD,dólar [trinitense]
TWD,dólar [taiwanés]
TZS,chelín [tanzano]
UAH,grivna
UGX,chelín [ugandés]
USD,dólar [estadounidense]
UYU,peso [uruguayo]
UZS,sum
VEF,bolívar
VND,dong
VUV,vatu
WST,tala
XAF,franco [CFA (BEAC)]
XCD,dólar [del Caribe Oriental]
XOF,franco [CFA (BCEAO)]
XPF,franco [CFP]
YER,riyal [yemení]
ZAR,rand
ZMW,kuacha [zambiano]
ZWL,dólar [zimbabuense]
